# column 1: time [ps]
# column 2: msd xyz [A^2]
# column 3: msd x [A^2]
# column 4: msd y [A^2]
# column 5: msd z [A^2]
1.0025 27.0747 9.11875 9.01253 8.94342
1.005 27.1789 9.15377 9.0474 8.97776
1.0075 27.2832 9.18882 9.08229 9.01213
1.01 27.3876 9.22391 9.1172 9.04653
1.0125 27.4921 9.25902 9.15213 9.08097
1.015 27.5967 9.29417 9.18708 9.11543
1.0175 27.7013 9.32934 9.22205 9.14993
1.02 27.8061 9.36455 9.25704 9.18447
1.0225 27.9109 9.39978 9.29205 9.21904
1.025 28.0158 9.43504 9.32709 9.25364
1.0275 28.1208 9.47033 9.36214 9.28828
1.03 28.2258 9.50565 9.39722 9.32296
1.0325 28.331 9.541 9.43231 9.35766
1.035 28.4362 9.57638 9.46743 9.39241
1.0375 28.5416 9.61179 9.50257 9.42719
1.04 28.647 9.64723 9.53774 9.46201
1.0425 28.7525 9.68269 9.57292 9.49687
1.045 28.8581 9.71818 9.60813 9.53176
1.0475 28.9638 9.75371 9.64337 9.56669
1.05 29.0695 9.78926 9.67862 9.60165
1.0525 29.1754 9.82484 9.7139 9.63666
1.055 29.2813 9.86044 9.74921 9.67169
1.0575 29.3874 9.89608 9.78454 9.70677
1.06 29.4935 9.93175 9.81989 9.74188
1.0625 29.5997 9.96744 9.85526 9.77703
1.065 29.706 10.0032 9.89066 9.81221
1.0675 29.8124 10.0389 9.92609 9.84743
1.07 29.9189 10.0747 9.96154 9.88268
1.0725 30.0255 10.1105 9.99701 9.91797
1.075 30.1321 10.1463 10.0325 9.95329
1.0775 30.2389 10.1822 10.068 9.98864
1.08 30.3457 10.2181 10.1036 10.024
1.0825 30.4526 10.254 10.1391 10.0594
1.085 30.5596 10.29 10.1747 10.0949
1.0875 30.6667 10.326 10.2103 10.1304
1.09 30.7738 10.362 10.246 10.1659
1.0925 30.8811 10.398 10.2816 10.2014
1.095 30.9884 10.4341 10.3173 10.237
1.0975 31.0959 10.4702 10.3531 10.2726
1.1 31.2034 10.5063 10.3888 10.3083
1.1025 31.311 10.5424 10.4246 10.344
1.105 31.4187 10.5786 10.4604 10.3797
1.1075 31.5264 10.6148 10.4962 10.4154
1.11 31.6343 10.6511 10.532 10.4512
1.1125 31.7422 10.6874 10.5679 10.487
1.115 31.8503 10.7237 10.6038 10.5228
1.1175 31.9584 10.76 10.6398 10.5587
1.12 32.0667 10.7964 10.6757 10.5945
1.1225 32.175 10.8328 10.7117 10.6305
1.125 32.2834 10.8692 10.7477 10.6664
1.1275 32.3919 10.9057 10.7838 10.7024
1.13 32.5004 10.9422 10.8199 10.7384
1.1325 32.6091 10.9787 10.8559 10.7744
1.135 32.7179 11.0153 10.8921 10.8105
1.1375 32.8267 11.0519 10.9282 10.8466
1.14 32.9356 11.0885 10.9644 10.8827
1.1425 33.0446 11.1252 11.0006 10.9189
1.145 33.1537 11.1618 11.0368 10.9551
1.1475 33.2629 11.1986 11.073 10.9913
1.15 33.3722 11.2353 11.1093 11.0276
